Module name,Service name,Group Request ID,Service unique key,Session ID,Security Token,RQ date time stamp,RS date time stamp,TAT,Status
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,26849088521_110931,,,2024-10-01 11:04:49,2024-10-01 11:04:50,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,33523820205_110931,,,2024-10-01 11:04:51,2024-10-01 11:04:52,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,74899171574_110931,,,2024-10-01 11:04:52,2024-10-01 11:04:53,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,96599745173_110931,,,2024-10-01 11:04:52,2024-10-01 11:04:53,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,621301466_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:58,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,73635308853_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:58,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,74464751681_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:58,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,30163762200_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:58,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,17203359987_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:58,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,35834582161_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,78509527082_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,87987895909_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,23792397121_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,82155104055_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,64608807432_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,89679170184_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,88777381140_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,18946474147_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,33093662283_110931,,,2024-10-01 11:04:58,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,26979061945_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,39491032848_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,8567989879_110931,,,2024-10-01 11:04:58,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,82650801309_110931,,,2024-10-01 11:04:58,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,67357878030_110931,,,2024-10-01 11:04:58,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,53749784761_110931,,,2024-10-01 11:04:58,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,77404960270_110931,,,2024-10-01 11:04:58,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,49588459833_110931,,,2024-10-01 11:04:57,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,57053545038_110931,,,2024-10-01 11:04:58,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,17122882132_110931,,,2024-10-01 11:04:58,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,70966271024_110931,,,2024-10-01 11:04:58,2024-10-01 11:04:59,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,23122264362_110931,,,2024-10-01 11:04:59,2024-10-01 11:05:00,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,19739186332_110931,,,2024-10-01 11:04:59,2024-10-01 11:05:00,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,4799949428_110931,,,2024-10-01 11:04:59,2024-10-01 11:05:00,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,35275606372_110931,,,2024-10-01 11:04:59,2024-10-01 11:05:00,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,69891461848_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,57358367954_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
FareCheckService_V1,Fare_InformativePricingWithoutPNR,110931,87347640178_110931,0U76FCLM80,1TH3H9I4R9NPYEOMD56L78JL,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,14640522156_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,42978658545_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,48486734280_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,27571880881_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,39473247700_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,4712427592_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,66252025872_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,47619321143_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
GetFareUsingCurl,Fare_InformativePricingWithoutPNR,110931,20499863916_110931,,,2024-10-01 11:05:00,2024-10-01 11:05:01,00:00:01,SUCCESS
